Document,Topic,pos dataset 10K (starting from 0)
"je serais son conseil en communication, je lui recommanderais d’abandonner ce ton pédagogique teinté d’agacement de prof principal, comme si les journalistes (et les français) étaient des lycéens bouchés macron20h",Science,2
bon les amis plus d electricite depuis hier. l électricien arrive dans 1h. prochains épisodes écrits. ca me gave tellement d avoir pas pu sortir ma reaction hier grrrr. on croise les doigts qu il répare ca dans la journée !,Science,24
une campagne scientifique à la voile pour récupérer les profileurs argo dans l’atlantique nord (naarco),Science,124
"plusieurs individus s'acharnent sur un élève à la sortie des cours. ils lui reprochent un ""rendez-vous avec une camarade de la communauté tchétchène"" pas sûr que le concept ""d'écoles sanctuaires"" soit compatible avec la transformation du pays en tiers monde.",Science,169
":rugby_football: pour la 6ème fois de son histoire le monte sur le toit de l'europe après un match épique ! :clapping_hands: mes félicitations aux joueurs, au staff, et merci de rendre la france et les français si fiers à l’approche des prochains jeux olympiques de paris. leinst :france:",Science,176
"environnement. à marseille, une algue asiatique invasive menace l’écosystème",Science,212
"le climat par les chiffres : christian gérondeau dénonce l’alarmisme climatique il rappelle que le giec n’est pas un comité de scientifiques, mais un groupement intergouvernemental de représentants d’états qui présente un point de vue politique et non",Science,213
début du tournage à 19h. hate.,Science,215
météo : à quoi s’attendre avec l’arrivée prochaine de la niña ?,Science,234
rendez-vous sur à 9h sur le plateau de ! hdpros,Science,247
rdv dès 8h10 pour lagrandeitw sur et,Science,267
":france::classical_building: questions au gouvernement, sûreté nucléaire, lutte contre les dérives sectaires… avec mes collègues et aujourd’hui à l’assemblée nationale. directan",Science,296
":france: très heureuse d’avoir été ce jour à la 52e ag de la section meilhanaise de l’association des prisonniers de guerre - combattants algérie,tunisie et maroc. :microphone: « vous pouvez être fiers d’appartenir à cette association qui fait vivre le lien profond de la fraternité d’armes ».",Science,300
"can life prevail ? une approche révolutionnaire de la crise environnementale, par pentti linkola",Science,321
"que pense de l'affaire avec ? ""ça a été difficile tout au long de la saison avec le . je vois un mbappé détendu, le visage beaucoup plus serein. après la gestion physique n'est pas facile, mais rien de grave au genou""",Science,395
"pour représenter l’europe ce soir, j’ai choisi l’allumage de la flamme olympique en grèce qui évoque une europe enracinée qui valorise la beauté et nos traditions. bien loin des jo-wokes qui sont en train de se préparer. lagrandeconfrontation votezmarion",Science,414
rugby. urc (united rugby championship). le calendrier 2024-2025 déjà disponible,Science,421
le rcv mène 13-6 à 16 minutes de la fin . toute la bretagne pousse,Science,506
:classical_building::france: très heureuse et très fière de recevoir à l’assemblée nationale nos petits lot-et-garonnais en provenance d’aiguillon. des enfants curieux et très à l’écoute sur le fonctionnement de nos institutions tout au long de la visite. lotetgaronne :red_heart:,Science,626
formation professionnelle : des restrictions pour le cpf,Science,672
"l’histoire de l’orthographe est très intéressante, et elle est effectivement marquée par l’élitisme, mais elle est loin de se réduire à cela et son uniformisation est un fruit de la révolution et de la démocratisation de l’éducation.",Science,683
"météo : rafales, averses orageuses... quel temps fera-t-il cette semaine ?",Science,707
météo : quand le soleil fera-t-il son retour ?,Science,734
rugby. quelques chiffres sur le rc vannes avant la finale face à grenoble,Science,754
choqué! obama est d'extrême droite :sports_medal:,Science,799
"reportage. la ville enchanteresse de tintagel, en cornouailles, sur les traces du roi arthur",Science,821
"on the one hand, there are those who strongly believe in ""climate change"" (global warming) and think it's a big risk, but who absolutely don't want to see ""population change"" (great replacement), claiming it's a malicious conspiracy theory. on the other hand, it's exactly the",Science,822
cette boucle sans fin,Science,856
