Document,Topic,pos dataset 10K (starting from 0)
"la gpa est le summum du business de la procréation, car c’est la vente et l’achat d’un enfant. c’est un trafic d’êtres humains. les enfants ne doivent faire l’objet d’aucun trafic. la femme n’est pas un moyen de production.",gender,53
"une femme ne vous aime jamais pour “qui vous êtes”. elle vous aime pour le statut que vous lui apportez, le style de vie que vous lui offrez, le divertissement que vous lui procurez.",gender,62
"sur la polémique autour de la gpa lancée par , ludo rappelle sur que cette pratique consiste à ""louer une femme, l'utiliser comme incubatrice, pour qu'elle produise un enfant au profit d'un tiers. c'est une exploitation de la femme.""",gender,121
voici les cadeaux pour ces enfants qui ne partent jamais en vacances. je les accueille à aujourd’hui. 200 familles monoparentales .:red_heart::zany_face::red_heart:,gender,134
"en fait quant t’es un homme, il faudrait que tu fasses signer un contrat à ta partenaire à chaque fois que tu veux coucher avec elle parce qu’entre deux rounds elle peut changer d’avis et t’accuser de viol. ridicule et totalement insupportable.",gender,146
"conseillère municipale de vitry, elle appelle au meurtre d’autres femmes.",gender,175
"la pensée totalitaire, qui fait passer des mensonges pour des vérités, a de plus en plus d’alliés complaisants. les médias ""progressistes"", enrôlés par la propagande lgbt+, sont de ceux-ci quand ils cautionnent la fiction de l'homme enceint.",gender,183
":green_circle: bizarrement, sandrinerousseau est beaucoup moins féministe lorsqu’il s’agit de dénoncer le viol de cherbourg ou lorsqu’elle siège dans le même intergroupe qu’un député condamné pour violences conjugales… :clown_face: endométriose directan",gender,252
"elle doit toujours craindre de perdre un homme de qualité, peu importe la valeur que vous ayez réellement. c’est la clé d’un couple qui dure.",gender,257
"européennes2024 &gt; l’union européenne, signataire de la convention d’istanbul, s’est engagée à lutter contre les violences faites aux femmes. proposition n°13 relative à la gpa :backhand_index_pointing_down::link:",gender,286
":red_circle: se mettent en ordre de bataille pour perdre aux européennes2024 ! toute compromission avec la gpa, pratique injuste pour les enfants et qui consiste à exploiter les femmes, sera sanctionnée. cc",gender,331
"celui des deux qui est le plus détaché dans la relation, c’est celui qui détient le plus de pouvoir. ayez toujours moins besoin d’elle qu’elle n’a besoin de vous.",gender,417
"en 2024, selon « le coin des lgbt » une lesbienne c’est ça. alors on pourrait en rire, sauf que ce compte est si influent que qui est ministre chargée de l'egalité entre les femmes et les hommes… a exprimé dans un tweet adressé à ce compte son souhait de «…",gender,427
":red_circle: « on a cherché à adapter, à plier le corps de la femme aux conditions du marché et de l’économie, alors qu’il aurait fallu faire l’inverse » revient sur la façon dont les féministes ont réussi à asservir les femmes au salariat. :movie_camera:",gender,430
"le front populaire a remplacé la candidature de quatennens, auteur de violences conjugales, par amy bah, qui cautionne un appel à tuer les « transphobes ». la haine mais avec le sourire et des paillettes :sparkles: :transgender_flag:",gender,440
cette extrême-gauche auto-proclamée féministe pour laquelle la polygamie n’est pas un problème…,gender,443
"""la violence faite aux femmes"", dénoncent-elles. sauf là....soutien à , et honte aux féministes silencieuses.",gender,495
"une femme veut être désirée par un homme, mais pas indispensable à ses yeux. les hommes qui dépendent affectivement des femmes sont repoussants et ennuyants.",gender,544
"en général, celles qui s’insurgent en disant que « toutes les femmes ne sont pas comme ça » se sentent précisément concernées par le propos en question.",gender,574
":netherlands: lale gül, libre, vraiment ? son premier livre avait défrayé la chronique aux pays-bas. depuis, la jeune femme se sent menacée",gender,578
"a l'occasion de la journée internationale des droits des femmes le 8 mars, le syndicat de la famille a décidé de mettre des femmes d'exception à l'honneur. pour réaffirmer une évidence qu'il est utile de rappeler : on naît femme... et on le devient !",gender,604
"si elle dit s’habiller « pour elle », traduisez qu’elle n’assume pas d’être une allumeuse tchoinflation",gender,636
"en effet ça marche dans les comics et sur netflix mais dans la vraie vie ça peut devenir très dangereux pour ces femmes, leurs collègues, les requérants, etc.",gender,647
". : ""peut-être aussi parce que je suis une femme, je crois profondément aux médiations, à changer notre rapport au pouvoir, vers l'apaisement""",gender,694
":alarm_clock: ce soir, à 19h45, nous vous révélons le visage d'un témoignage central de notre livre transmania. alexandra est née avec des chromosomes sexuels xxy. elle nous a parlé de ce trouble sans tabous, et de son ras-le-bol du transgenrisme. abonnez-vous :backhand_index_pointing_right:",gender,700
"contre-feu de paille : la gaumont prépare une série sur brigitte la série va s’appeler brigitte, une femme libre. on se demande si c’est sérieux. déjà, le titre sent la légende boiteuse. égalité et réconciliation",gender,805
"en publiant un livre sur les dérives de l’idéologie transgenre, les féministes dora moutot et marguerite stern témoignent combien défendre le simple constat de la biologie est aujourd’hui transgressif.",gender,807
"si elle ne pleure pas des semaines durant après que vous ayez rompu, si elle ne réduit pas sa vie sociale, et ne s’enferme pas chez elle pendant des jours, c’est que vous ne signifiez rien à ses yeux. votre absence ne change rien à sa vie.",gender,825
"c'est assez amusant d'apprendre les émois de , elle qui fut une des premières à la fi à utiliser avec son équipe le dénigrement, les insultes, les allusions douteuses sur les réseaux sociaux. domaine dans lequel elle surclasse largement pierre mendès-france.",gender,954
"et oui les transgenristes hurlent à la transphobie, sauf qu’au contraire, les gens qui lisent notre livre comprennent grâce à lui que la dysphorie est un véritable problème de santé.",gender,961
christine kelly dans le jdd : “la france de l’espérance”,gender,1052
"""d’origine berrichonne, raymonde vincent (1908-1985) obtient en 1937 le prix femina pour son roman campagne, vendu à plus de 100 000 exemplaires...""",gender,1061
livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_5: réaffirmer la souveraineté nationale de chaque etat en matière d’interdiction de la gpa qui est une atteinte aux droits de l'enfant et une violence faite aux femmes.,gender,1129
"« une terf, une balle » : marguerite stern et dora moutot (transmania) menacées de mort - par transmania les deux jeunes femmes peuvent compter sur le soutien de j. k. rowling, l'auteur de la saga harry potter.",gender,1202
"la gpa et le commerce des gamètes constituent une exploitation reproductive des femmes, des hommes et des enfants, comme le démontre le livre blanc que nous sommes venus présenter à genève à l'occasion de la 53e session du comité des droits de l'homme. nous appelons l' à",gender,1245
":studio_microphone:""personne ne s’est intéressé au fond du travail des femmes élues, on est en droit de faire le bilan des femmes en politique."" :books: la journaliste de cnews christine kelly publie ""femmes en politique : premier bilan"" - entretien avec :right_arrow_curving_down:",gender,1267
"livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_4: stopper toutes les prétendues tentatives d’encadrement international de la gpa qui, en fait, seraient une reconnaissance détournée de la gpa : la :france: doit dénoncer les travaux de la conférence de la haye.",gender,1290
jeudi volant sur 12/14h. série noire chez boeing aviation : michel polacco explique. france de plus en plus orange mécanique ? décrit.les nombreux tanguy pourront-ils célébrer la fête des mères? et le remède de daniel schiffer contre le woke: le rock!,gender,1323
"« vous nous laissez l’interroger ? » au delà de sa campagne, cette humiliation de valérie hayer est un message catastrophique pour toutes les femmes qui s’engagent politiquement. gabriel attal a dépassé toutes les bornes.",gender,1401
"on a le droit de dire que les gonzesses racontent des trucs inintéressants seulement si on est de gauche, sinon c’est du sexisme.",gender,1511
"à tous mes followers à gauche ou au centre du monde féministe qui viennent se plaindre et communiquer leur déception quant à mes interactions avec la droite, voici ce que j'ai à vous dire : ( pour me suivre sur instagram :",gender,1546
pour rire un peu,gender,1565
la gaypride ce n’est plus seulement l’arrogance gay c’est aussi l’arrogance trans. avec l’argent public des associations subventionnées,gender,1615
