Document,Topic,Pos dataset 10K (starting from 0)
"la gpa est le summum du business de la procréation, car c’est la vente et l’achat d’un enfant. c’est un trafic d’êtres humains. les enfants ne doivent faire l’objet d’aucun trafic. la femme n’est pas un moyen de production.",61,53
"une femme ne vous aime jamais pour “qui vous êtes”. elle vous aime pour le statut que vous lui apportez, le style de vie que vous lui offrez, le divertissement que vous lui procurez.",5,62
:check_mark_button: enfin une loi qui va dans le bon sens ! elle contribuera à protéger les enfants et les familles de l'étalage de leur vie privée sur les réseaux sociaux. merci au député bruno studer d'aider les enfants à grandir en paix.,11,96
"sur la polémique autour de la gpa lancée par , ludo rappelle sur que cette pratique consiste à ""louer une femme, l'utiliser comme incubatrice, pour qu'elle produise un enfant au profit d'un tiers. c'est une exploitation de la femme.""",61,121
voici les cadeaux pour ces enfants qui ne partent jamais en vacances. je les accueille à aujourd’hui. 200 familles monoparentales .:red_heart::zany_face::red_heart:,91,134
"en fait quant t’es un homme, il faudrait que tu fasses signer un contrat à ta partenaire à chaque fois que tu veux coucher avec elle parce qu’entre deux rounds elle peut changer d’avis et t’accuser de viol. ridicule et totalement insupportable.",5,146
"conseillère municipale de vitry, elle appelle au meurtre d’autres femmes.",5,175
"la pensée totalitaire, qui fait passer des mensonges pour des vérités, a de plus en plus d’alliés complaisants. les médias ""progressistes"", enrôlés par la propagande lgbt+, sont de ceux-ci quand ils cautionnent la fiction de l'homme enceint.",89,183
":green_circle: bizarrement, sandrinerousseau est beaucoup moins féministe lorsqu’il s’agit de dénoncer le viol de cherbourg ou lorsqu’elle siège dans le même intergroupe qu’un député condamné pour violences conjugales… :clown_face: endométriose directan",5,252
"elle doit toujours craindre de perdre un homme de qualité, peu importe la valeur que vous ayez réellement. c’est la clé d’un couple qui dure.",5,257
"européennes2024 &gt; l’union européenne, signataire de la convention d’istanbul, s’est engagée à lutter contre les violences faites aux femmes. proposition n°13 relative à la gpa :backhand_index_pointing_down::link:",5,286
":red_circle: se mettent en ordre de bataille pour perdre aux européennes2024 ! toute compromission avec la gpa, pratique injuste pour les enfants et qui consiste à exploiter les femmes, sera sanctionnée. cc",61,331
"la fête des grands-mères est une occasion de rendre hommage à nos bonnes-mamans chéries, piliers de foi.",91,353
"celui des deux qui est le plus détaché dans la relation, c’est celui qui détient le plus de pouvoir. ayez toujours moins besoin d’elle qu’elle n’a besoin de vous.",5,417
"en 2024, selon « le coin des lgbt » une lesbienne c’est ça. alors on pourrait en rire, sauf que ce compte est si influent que qui est ministre chargée de l'egalité entre les femmes et les hommes… a exprimé dans un tweet adressé à ce compte son souhait de «…",25,427
":red_circle: « on a cherché à adapter, à plier le corps de la femme aux conditions du marché et de l’économie, alors qu’il aurait fallu faire l’inverse » revient sur la façon dont les féministes ont réussi à asservir les femmes au salariat. :movie_camera:",5,430
"le front populaire a remplacé la candidature de quatennens, auteur de violences conjugales, par amy bah, qui cautionne un appel à tuer les « transphobes ». la haine mais avec le sourire et des paillettes :sparkles: :transgender_flag:",25,440
cette extrême-gauche auto-proclamée féministe pour laquelle la polygamie n’est pas un problème…,5,443
"""la violence faite aux femmes"", dénoncent-elles. sauf là....soutien à , et honte aux féministes silencieuses.",5,495
"une femme veut être désirée par un homme, mais pas indispensable à ses yeux. les hommes qui dépendent affectivement des femmes sont repoussants et ennuyants.",5,544
"eh bien, il est pas maqué, lui :grinning_face_with_big_eyes: ou elle, je ne sais pas. je suppose qu'il/elle imagine qu'on peut aussi faire ça avec les enfants, par exemple, ne les voir qu'un jour sur deux, parce que c'est vrai qu'ils sont chiants, hein. postmodern",11,565
"en général, celles qui s’insurgent en disant que « toutes les femmes ne sont pas comme ça » se sentent précisément concernées par le propos en question.",5,574
":netherlands: lale gül, libre, vraiment ? son premier livre avait défrayé la chronique aux pays-bas. depuis, la jeune femme se sent menacée",118,578
"vincent de la morandière, avocat : «le planning familial n’est pas qu’un organe d’aide, c'est aussi un organe d’influence politique », dans midinews",11,581
"a l'occasion de la journée internationale des droits des femmes le 8 mars, le syndicat de la famille a décidé de mettre des femmes d'exception à l'honneur. pour réaffirmer une évidence qu'il est utile de rappeler : on naît femme... et on le devient !",5,604
":blue_circle: il faut en finir avec la culture de l’excuse : 72% des français sont favorables à la suppression des allocations familiales pour les parents de mineurs récidivistes. avec le , nous avions déjà déposé en août dernier une proposition de loi à ce sujet.",11,605
"si elle dit s’habiller « pour elle », traduisez qu’elle n’assume pas d’être une allumeuse tchoinflation",5,636
"en effet ça marche dans les comics et sur netflix mais dans la vraie vie ça peut devenir très dangereux pour ces femmes, leurs collègues, les requérants, etc.",5,647
il faut interdire les transitions de genre pour les mineurs ! onvousrépond,25,656
". : ""peut-être aussi parce que je suis une femme, je crois profondément aux médiations, à changer notre rapport au pouvoir, vers l'apaisement""",5,694
":alarm_clock: ce soir, à 19h45, nous vous révélons le visage d'un témoignage central de notre livre transmania. alexandra est née avec des chromosomes sexuels xxy. elle nous a parlé de ce trouble sans tabous, et de son ras-le-bol du transgenrisme. abonnez-vous :backhand_index_pointing_right:",25,700
"comment peut-on se vanter de la sorte de priver un bébé de maman ? révoltant, écœurant. rien ni personne ne peut remplacer la tendresse d'une maman. gpa",11,767
